 rho = L(surface reflected)/L(sky) (non-dimen) as in
 Mobley, 1999, Appl Opt 38, page 7445, Eq. 4
   [(Theta,Phi) are the directions of photon travel.
   Theta is measured from 0 at the zenith.
   Solar photons travel in the Phi = 180 direction (the sun is located at Phi = 0).
   (Thus Phi = 45 represents the 135 degree viewing angle for minimizing sun glitter.)]
   These values are for 550 nm (see RhoNotes.pdf for discussion)
   I   J    Theta      Phi  Phi-view       rho
   3   3     70.0     30.0    150.0      0.1548
   3   4     70.0     45.0    135.0      0.1547
   3   5     70.0     60.0    120.0      0.1548
   3   6     70.0     75.0    105.0      0.1527
   3   7     70.0     90.0     90.0      0.1544
   3   8     70.0    105.0     75.0      0.1528
   3   9     70.0    120.0     60.0      0.1558
   3  10     70.0    135.0     45.0      0.1593
   3  11     70.0    150.0     30.0      0.1641
   3  12     70.0    165.0     15.0      0.2152
   3  13     70.0    180.0      0.0      0.5927
   2   1     80.0      0.0    180.0      0.3233
   2   2     80.0     15.0    165.0      0.3222
   2   3     80.0     30.0    150.0      0.3262
   2   4     80.0     45.0    135.0      0.3267
   2   5     80.0     60.0    120.0      0.3284
   2   6     80.0     75.0    105.0      0.3311
   2   7     80.0     90.0     90.0      0.3316
   2   8     80.0    105.0     75.0      0.3321
   2   9     80.0    120.0     60.0      0.3314
   2  10     80.0    135.0     45.0      0.3324
   2  11     80.0    150.0     30.0      0.3345
   2  12     80.0    165.0     15.0      0.3951
   2  13     80.0    180.0      0.0      0.1895
   1   1     87.5      0.0    180.0      0.4686
   1   2     87.5     15.0    165.0      0.4674
   1   3     87.5     30.0    150.0      0.4924
   1   4     87.5     45.0    135.0      0.4820
   1   5     87.5     60.0    120.0      0.4666
   1   6     87.5     75.0    105.0      0.4834
   1   7     87.5     90.0     90.0      0.4781
   1   8     87.5    105.0     75.0      0.4870
   1   9     87.5    120.0     60.0      0.4760
   1  10     87.5    135.0     45.0      0.5044
   1  11     87.5    150.0     30.0      0.5396
   1  12     87.5    165.0     15.0      0.6137
   1  13     87.5    180.0      0.0      2.4486
rho for WIND SPEED =  4.0 m/s     THETA_SUN =  0.0 deg
  10   1      0.0      0.0      0.0      0.0018
   9   1     10.0      0.0    180.0      0.1795
   9   2     10.0     15.0    165.0      0.1802
   9   3     10.0     30.0    150.0      0.1812
   9   4     10.0     45.0    135.0      0.1874
   9   5     10.0     60.0    120.0      0.1789
   9   6     10.0     75.0    105.0      0.1725
   9   7     10.0     90.0     90.0      0.1807
   9   8     10.0    105.0     75.0      0.1725
   9   9     10.0    120.0     60.0      0.1789
   9  10     10.0    135.0     45.0      0.1874
   9  11     10.0    150.0     30.0      0.1812
   9  12     10.0    165.0     15.0      0.1802
   9  13     10.0    180.0      0.0      0.1795
   8   1     20.0      0.0    180.0      0.1465
   8   2     20.0     15.0    165.0      0.1447
   8   3     20.0     30.0    150.0      0.1463
   8   4     20.0     45.0    135.0      0.1490
   8   5     20.0     60.0    120.0      0.1457
   8   6     20.0     75.0    105.0      0.1488
   8   7     20.0     90.0     90.0      0.1441
   8   8     20.0    105.0     75.0      0.1488
   8   9     20.0    120.0     60.0      0.1457
   8  10     20.0    135.0     45.0      0.1490
   8  11     20.0    150.0     30.0      0.1463
   8  12     20.0    165.0     15.0      0.1447
   8  13     20.0    180.0      0.0      0.1465
   7   1     30.0      0.0    180.0      0.0614
   7   2     30.0     15.0    165.0      0.0669
   7   3     30.0     30.0    150.0      0.0638
   7   4     30.0     45.0    135.0      0.0648
   7   5     30.0     60.0    120.0      0.0692
   7   6     30.0     75.0    105.0      0.0651
   7   7     30.0     90.0     90.0      0.0584
   7   8     30.0    105.0     75.0      0.0652
   7   9     30.0    120.0     60.0      0.0692
   7  10     30.0    135.0     45.0      0.0648
   7  11     30.0    150.0     30.0      0.0638
   7  12     30.0    165.0     15.0      0.0669
   7  13     30.0    180.0      0.0      0.0614
   6   1     40.0      0.0    180.0      0.0333
   6   2     40.0     15.0    165.0      0.0348
   6   3     40.0     30.0    150.0      0.0330
   6   4     40.0     45.0    135.0      0.0352
   6   5     40.0     60.0    120.0      0.0343
   6   6     40.0     75.0    105.0      0.0342
   6   7     40.0     90.0     90.0      0.0332
   6   8     40.0    105.0     75.0      0.0342
   6   9     40.0    120.0     60.0      0.0343
   6  10     40.0    135.0     45.0      0.0352
   6  11     40.0    150.0     30.0      0.0330
   6  12     40.0    165.0     15.0      0.0348
   6  13     40.0    180.0      0.0      0.0333
   5   1     50.0      0.0    180.0      0.0390
   5   2     50.0     15.0    165.0      0.0395
   5   3     50.0     30.0    150.0      0.0395
   5   4     50.0     45.0    135.0      0.0389
   5   5     50.0     60.0    120.0      0.0389
   5   6     50.0     75.0    105.0      0.0392
   5   7     50.0     90.0     90.0      0.0395
   5   8     50.0    105.0     75.0      0.0392
   5   9     50.0    120.0     60.0      0.0389
   5  10     50.0    135.0     45.0      0.0389
   5  11     50.0    150.0     30.0      0.0395
   5  12     50.0    165.0     15.0      0.0395
   5  13     50.0    180.0      0.0      0.0390
   4   1     60.0      0.0    180.0      0.0717
   4   2     60.0     15.0    165.0      0.0719
   4   3     60.0     30.0    150.0      0.0723
   4   4     60.0     45.0    135.0      0.0719
   4   5     60.0     60.0    120.0      0.0715
   4   6     60.0     75.0    105.0      0.0716
   4   7     60.0     90.0     90.0      0.0720
   4   8     60.0    105.0     75.0      0.0716
   4   9     60.0    120.0     60.0      0.0715
   4  10     60.0    135.0     45.0      0.0719
   4  11     60.0    150.0     30.0      0.0723
   4  12     60.0    165.0     15.0      0.0719
   4  13     60.0    180.0      0.0      0.0717
   3   1     70.0      0.0    180.0      0.1585
   3   2     70.0     15.0    165.0      0.1578
   3   3     70.0     30.0    150.0      0.1567
   3   4     70.0     45.0    135.0      0.1586
   3   5     70.0     60.0    120.0      0.1579
   3   6     70.0     75.0    105.0      0.1580
   3   7     70.0     90.0     90.0      0.1602
   3   8     70.0    105.0     75.0      0.1580
   3   9     70.0    120.0     60.0      0.1579
   3  10     70.0    135.0     45.0      0.1586
   3  11     70.0    150.0     30.0      0.1567
   3  12     70.0    165.0     15.0      0.1578
   3  13     70.0    180.0      0.0      0.1585
   2   1     80.0      0.0    180.0      0.2830
   2   2     80.0     15.0    165.0      0.2841
   2   3     80.0     30.0    150.0      0.2893
   2   4     80.0     45.0    135.0      0.2857
   2   5     80.0     60.0    120.0      0.2824
   2   6     80.0     75.0    105.0      0.2926
   2   7     80.0     90.0     90.0      0.2895
   2   8     80.0    105.0     75.0      0.2926
   2   9     80.0    120.0     60.0      0.2824
   2  10     80.0    135.0     45.0      0.2857
   2  11     80.0    150.0     30.0      0.2893
   2  12     80.0    165.0     15.0      0.2841
   2  13     80.0    180.0      0.0      0.2830
   1   1     87.5      0.0    180.0      0.3568
   1   2     87.5     15.0    165.0      0.3619
   1   3     87.5     30.0    150.0      0.3895
   1   4     87.5     45.0    135.0      0.3797
   1   5     87.5     60.0    120.0      0.3704
   1   6     87.5     75.0    105.0      0.3680
   1   7     87.5     90.0     90.0      0.3721
   1   8     87.5    105.0     75.0      0.3680
   1   9     87.5    120.0     60.0      0.3704
   1  10     87.5    135.0     45.0      0.3797
   1  11     87.5    150.0     30.0      0.3895
   1  12     87.5    165.0     15.0      0.3619
   1  13     87.5    180.0      0.0      0.3568
rho for WIND SPEED =  4.0 m/s     THETA_SUN = 10.0 deg
  10   1      0.0      0.0      0.0      0.1667
   9   1     10.0      0.0    180.0      0.1292
   9   2     10.0     15.0    165.0      0.1159
   9   3     10.0     30.0    150.0      0.1441
   9   4     10.0     45.0    135.0      0.1332
   9   5     10.0     60.0    120.0      0.1513
   9   6     10.0     75.0    105.0      0.1620
   9   7     10.0     90.0     90.0      0.1717
   9   8     10.0    105.0     75.0      0.1798
   9   9     10.0    120.0     60.0      0.1752
   9  10     10.0    135.0     45.0      0.1591
   9  11     10.0    150.0     30.0      0.1478
   9  12     10.0    165.0     15.0      0.1293
   9  13     10.0    180.0      0.0      0.0006
   8   1     20.0      0.0    180.0      0.0614
   8   2     20.0     15.0    165.0      0.0582
   8   3     20.0     30.0    150.0      0.0604
   8   4     20.0     45.0    135.0      0.0672
   8   5     20.0     60.0    120.0      0.0756
   8   6     20.0     75.0    105.0      0.0948
   8   7     20.0     90.0     90.0      0.1229
   8   8     20.0    105.0     75.0      0.1341
   8   9     20.0    120.0     60.0      0.1549
   8  10     20.0    135.0     45.0      0.1677
   8  11     20.0    150.0     30.0      0.1859
   8  12     20.0    165.0     15.0      0.1973
   8  13     20.0    180.0      0.0      0.1875
   7   1     30.0      0.0    180.0      0.0267
   7   2     30.0     15.0    165.0      0.0287
   7   3     30.0     30.0    150.0      0.0306
   7   4     30.0     45.0    135.0      0.0301
   7   5     30.0     60.0    120.0      0.0362
   7   6     30.0     75.0    105.0      0.0419
   7   7     30.0     90.0     90.0      0.0498
   7   8     30.0    105.0     75.0      0.0629
   7   9     30.0    120.0     60.0      0.0766
   7  10     30.0    135.0     45.0      0.1188
   7  11     30.0    150.0     30.0      0.1421
   7  12     30.0    165.0     15.0      0.1630
   7  13     30.0    180.0      0.0      0.1872
   6   1     40.0      0.0    180.0      0.0288
   6   2     40.0     15.0    165.0      0.0287
   6   3     40.0     30.0    150.0      0.0284
   6   4     40.0     45.0    135.0      0.0284
   6   5     40.0     60.0    120.0      0.0282
   6   6     40.0     75.0    105.0      0.0297
   6   7     40.0     90.0     90.0      0.0308
   6   8     40.0    105.0     75.0      0.0338
   6   9     40.0    120.0     60.0      0.0399
   6  10     40.0    135.0     45.0      0.0508
   6  11     40.0    150.0     30.0      0.0629
   6  12     40.0    165.0     15.0      0.0808
   6  13     40.0    180.0      0.0      0.0819
   5   1     50.0      0.0    180.0      0.0387
   5   2     50.0     15.0    165.0      0.0392
   5   3     50.0     30.0    150.0      0.0389
   5   4     50.0     45.0    135.0      0.0386
   5   5     50.0     60.0    120.0      0.0386
   5   6     50.0     75.0    105.0      0.0388
   5   7     50.0     90.0     90.0      0.0394
   5   8     50.0    105.0     75.0      0.0391
   5   9     50.0    120.0     60.0      0.0396
   5  10     50.0    135.0     45.0      0.0424
   5  11     50.0    150.0     30.0      0.0431
   5  12     50.0    165.0     15.0      0.0455
   5  13     50.0    180.0      0.0      0.0454
   4   1     60.0      0.0    180.0      0.0735
   4   2     60.0     15.0    165.0      0.0737
   4   3     60.0     30.0    150.0      0.0738
   4   4     60.0     45.0    135.0      0.0731
   4   5     60.0     60.0    120.0      0.0723
   4   6     60.0     75.0    105.0      0.0720
   4   7     60.0     90.0     90.0      0.0722
   4   8     60.0    105.0     75.0      0.0714
   4   9     60.0    120.0     60.0      0.0712
   4  10     60.0    135.0     45.0      0.0716
   4  11     60.0    150.0     30.0      0.0723
   4  12     60.0    165.0     15.0      0.0716
   4  13     60.0    180.0      0.0      0.0715
   3   1     70.0      0.0    180.0      0.1624
   3   2     70.0     15.0    165.0      0.1616
   3   3     70.0     30.0    150.0      0.1600
   3   4     70.0     45.0    135.0      0.1612
   3   5     70.0     60.0    120.0      0.1597
   3   6     70.0     75.0    105.0      0.1589
   3   7     70.0     90.0     90.0      0.1603
   3   8     70.0    105.0     75.0      0.1574
   3   9     70.0    120.0     60.0      0.1568
   3  10     70.0    135.0     45.0      0.1570
   3  11     70.0    150.0     30.0      0.1549
   3  12     70.0    165.0     15.0      0.1559
   3  13     70.0    180.0      0.0      0.1566
   2   1     80.0      0.0    180.0      0.2772
   2   2     80.0     15.0    165.0      0.2786
   2   3     80.0     30.0    150.0      0.2843
   2   4     80.0     45.0    135.0      0.2816
   2   5     80.0     60.0    120.0      0.2793
   2   6     80.0     75.0    105.0      0.2907
   2   7     80.0     90.0     90.0      0.2890
   2   8     80.0    105.0     75.0      0.2935
   2   9     80.0    120.0     60.0      0.2845
   2  10     80.0    135.0     45.0      0.2889
   2  11     80.0    150.0     30.0      0.2934
   2  12     80.0    165.0     15.0      0.2888
   2  13     80.0    180.0      0.0      0.2881
   1   1     87.5      0.0    180.0      0.3325
   1   2     87.5     15.0    165.0      0.3376
   1   3     87.5     30.0    150.0      0.3667
   1   4     87.5     45.0    135.0      0.3609
   1   5     87.5     60.0    120.0      0.3570
   1   6     87.5     75.0    105.0      0.3607
   1   7     87.5     90.0     90.0      0.3711
   1   8     87.5    105.0     75.0      0.3732
   1   9     87.5    120.0     60.0      0.3818
   1  10     87.5    135.0     45.0      0.3964
   1  11     87.5    150.0     30.0      0.4105
   1  12     87.5    165.0     15.0      0.3844
   1  13     87.5    180.0      0.0      0.3796
rho for WIND SPEED =  4.0 m/s     THETA_SUN = 20.0 deg
  10   1      0.0      0.0      0.0      0.1316
   9   1     10.0      0.0    180.0      0.0647
   9   2     10.0     15.0    165.0      0.0587
   9   3     10.0     30.0    150.0      0.0616
   9   4     10.0     45.0    135.0      0.0735
   9   5     10.0     60.0    120.0      0.0699
   9   6     10.0     75.0    105.0      0.0836
   9   7     10.0     90.0     90.0      0.1017
   9   8     10.0    105.0     75.0      0.1296
   9   9     10.0    120.0     60.0      0.1518
   9  10     10.0    135.0     45.0      0.1695
   9  11     10.0    150.0     30.0      0.1597
   9  12     10.0    165.0     15.0      0.1663
   9  13     10.0    180.0      0.0      0.1567
   8   1     20.0      0.0    180.0      0.0279
   8   2     20.0     15.0    165.0      0.0285
   8   3     20.0     30.0    150.0      0.0297
   8   4     20.0     45.0    135.0      0.0304
   8   5     20.0     60.0    120.0      0.0393
   8   6     20.0     75.0    105.0      0.0448
   8   7     20.0     90.0     90.0      0.0697
   8   8     20.0    105.0     75.0      0.0924
   8   9     20.0    120.0     60.0      0.1232
   8  10     20.0    135.0     45.0      0.1550
   8  11     20.0    150.0     30.0      0.1671
   8  12     20.0    165.0     15.0      0.1446
   8  13     20.0    180.0      0.0      0.0013
   7   1     30.0      0.0    180.0      0.0241
   7   2     30.0     15.0    165.0      0.0244
   7   3     30.0     30.0    150.0      0.0255
   7   4     30.0     45.0    135.0      0.0252
   7   5     30.0     60.0    120.0      0.0261
   7   6     30.0     75.0    105.0      0.0292
   7   7     30.0     90.0     90.0      0.0314
   7   8     30.0    105.0     75.0      0.0477
   7   9     30.0    120.0     60.0      0.0766
   7  10     30.0    135.0     45.0      0.1205
   7  11     30.0    150.0     30.0      0.1612
   7  12     30.0    165.0     15.0      0.1871
   7  13     30.0    180.0      0.0      0.1939
   6   1     40.0      0.0    180.0      0.0274
   6   2     40.0     15.0    165.0      0.0277
   6   3     40.0     30.0    150.0      0.0274
   6   4     40.0     45.0    135.0      0.0278
   6   5     40.0     60.0    120.0      0.0276
   6   6     40.0     75.0    105.0      0.0280
   6   7     40.0     90.0     90.0      0.0290
   6   8     40.0    105.0     75.0      0.0325
   6   9     40.0    120.0     60.0      0.0366
   6  10     40.0    135.0     45.0      0.0599
   6  11     40.0    150.0     30.0      0.1075
   6  12     40.0    165.0     15.0      0.1604
   6  13     40.0    180.0      0.0      0.1850
   5   1     50.0      0.0    180.0      0.0392
   5   2     50.0     15.0    165.0      0.0397
   5   3     50.0     30.0    150.0      0.0393
   5   4     50.0     45.0    135.0      0.0389
   5   5     50.0     60.0    120.0      0.0387
   5   6     50.0     75.0    105.0      0.0387
   5   7     50.0     90.0     90.0      0.0392
   5   8     50.0    105.0     75.0      0.0391
   5   9     50.0    120.0     60.0      0.0403
   5  10     50.0    135.0     45.0      0.0464
   5  11     50.0    150.0     30.0      0.0572
   5  12     50.0    165.0     15.0      0.0849
   5  13     50.0    180.0      0.0      0.0996
   4   1     60.0      0.0    180.0      0.0764
   4   2     60.0     15.0    165.0      0.0765
   4   3     60.0     30.0    150.0      0.0764
   4   4     60.0     45.0    135.0      0.0750
   4   5     60.0     60.0    120.0      0.0736
   4   6     60.0     75.0    105.0      0.0727
   4   7     60.0     90.0     90.0      0.0725
   4   8     60.0    105.0     75.0      0.0714
   4   9     60.0    120.0     60.0      0.0712
   4  10     60.0    135.0     45.0      0.0718
   4  11     60.0    150.0     30.0      0.0746
   4  12     60.0    165.0     15.0      0.0765
   4  13     60.0    180.0      0.0      0.0789
   3   1     70.0      0.0    180.0      0.1664
   3   2     70.0     15.0    165.0      0.1656
   3   3     70.0     30.0    150.0      0.1636
   3   4     70.0     45.0    135.0      0.1642
   3   5     70.0     60.0    120.0      0.1618
   3   6     70.0     75.0    105.0      0.1600
   3   7     70.0     90.0     90.0      0.1607
   3   8     70.0    105.0     75.0      0.1572
   3   9     70.0    120.0     60.0      0.1563
   3  10     70.0    135.0     45.0      0.1566
   3  11     70.0    150.0     30.0      0.1550
   3  12     70.0    165.0     15.0      0.1565
   3  13     70.0    180.0      0.0      0.1574
   2   1     80.0      0.0    180.0      0.2711
   2   2     80.0     15.0    165.0      0.2729
   2   3     80.0     30.0    150.0      0.2791
   2   4     80.0     45.0    135.0      0.2771
   2   5     80.0     60.0    120.0      0.2758
   2   6     80.0     75.0    105.0      0.2882
   2   7     80.0     90.0     90.0      0.2877
   2   8     80.0    105.0     75.0      0.2933
   2   9     80.0    120.0     60.0      0.2854
   2  10     80.0    135.0     45.0      0.2914
   2  11     80.0    150.0     30.0      0.2976
   2  12     80.0    165.0     15.0      0.2947
   2  13     80.0    180.0      0.0      0.2947
   1   1     87.5      0.0    180.0      0.3133
   1   2     87.5     15.0    165.0      0.3182
   1   3     87.5     30.0    150.0      0.3480
   1   4     87.5     45.0    135.0      0.3447
   1   5     87.5     60.0    120.0      0.3444
   1   6     87.5     75.0    105.0      0.3529
   1   7     87.5     90.0     90.0      0.3683
   1   8     87.5    105.0     75.0      0.3754
   1   9     87.5    120.0     60.0      0.3890
   1  10     87.5    135.0     45.0      0.4083
   1  11     87.5    150.0     30.0      0.4273
   1  12     87.5    165.0     15.0      0.4039
   1  13     87.5    180.0      0.0      0.3997
rho for WIND SPEED =  4.0 m/s     THETA_SUN = 30.0 deg
  10   1      0.0      0.0      0.0      0.0625
   9   1     10.0      0.0    180.0      0.0248
   9   2     10.0     15.0    165.0      0.0257
   9   3     10.0     30.0    150.0      0.0318
   9   4     10.0     45.0    135.0      0.0328
   9   5     10.0     60.0    120.0      0.0357
   9   6     10.0     75.0    105.0      0.0354
   9   7     10.0     90.0     90.0      0.0451
   9   8     10.0    105.0     75.0      0.0542
   9   9     10.0    120.0     60.0      0.0667
   9  10     10.0    135.0     45.0      0.0856
   9  11     10.0    150.0     30.0      0.1111
   9  12     10.0    165.0     15.0      0.1365
   9  13     10.0    180.0      0.0      0.1417
   8   1     20.0      0.0    180.0      0.0234
   8   2     20.0     15.0    165.0      0.0242
   8   3     20.0     30.0    150.0      0.0232
   8   4     20.0     45.0    135.0      0.0233
   8   5     20.0     60.0    120.0      0.0256
   8   6     20.0     75.0    105.0      0.0265
   8   7     20.0     90.0     90.0      0.0307
   8   8     20.0    105.0     75.0      0.0393
   8   9     20.0    120.0     60.0      0.0717
   8  10     20.0    135.0     45.0      0.1040
   8  11     20.0    150.0     30.0      0.1532
   8  12     20.0    165.0     15.0      0.1668
   8  13     20.0    180.0      0.0      0.1516
   7   1     30.0      0.0    180.0      0.0235
   7   2     30.0     15.0    165.0      0.0237
   7   3     30.0     30.0    150.0      0.0238
   7   4     30.0     45.0    135.0      0.0240
   7   5     30.0     60.0    120.0      0.0241
   7   6     30.0     75.0    105.0      0.0244
   7   7     30.0     90.0     90.0      0.0263
   7   8     30.0    105.0     75.0      0.0287
   7   9     30.0    120.0     60.0      0.0475
   7  10     30.0    135.0     45.0      0.0932
   7  11     30.0    150.0     30.0      0.1438
   7  12     30.0    165.0     15.0      0.1581
   7  13     30.0    180.0      0.0      0.0021
   6   1     40.0      0.0    180.0      0.0274
   6   2     40.0     15.0    165.0      0.0278
   6   3     40.0     30.0    150.0      0.0273
   6   4     40.0     45.0    135.0      0.0276
   6   5     40.0     60.0    120.0      0.0273
   6   6     40.0     75.0    105.0      0.0275
   6   7     40.0     90.0     90.0      0.0278
   6   8     40.0    105.0     75.0      0.0287
   6   9     40.0    120.0     60.0      0.0331
   6  10     40.0    135.0     45.0      0.0581
   6  11     40.0    150.0     30.0      0.1179
   6  12     40.0    165.0     15.0      0.1902
   6  13     40.0    180.0      0.0      0.2051
   5   1     50.0      0.0    180.0      0.0402
   5   2     50.0     15.0    165.0      0.0407
   5   3     50.0     30.0    150.0      0.0401
   5   4     50.0     45.0    135.0      0.0395
   5   5     50.0     60.0    120.0      0.0390
   5   6     50.0     75.0    105.0      0.0388
   5   7     50.0     90.0     90.0      0.0391
   5   8     50.0    105.0     75.0      0.0389
   5   9     50.0    120.0     60.0      0.0395
   5  10     50.0    135.0     45.0      0.0459
   5  11     50.0    150.0     30.0      0.0814
   5  12     50.0    165.0     15.0      0.1600
   5  13     50.0    180.0      0.0      0.2187
   4   1     60.0      0.0    180.0      0.0791
   4   2     60.0     15.0    165.0      0.0792
   4   3     60.0     30.0    150.0      0.0788
   4   4     60.0     45.0    135.0      0.0771
   4   5     60.0     60.0    120.0      0.0751
   4   6     60.0     75.0    105.0      0.0737
   4   7     60.0     90.0     90.0      0.0731
   4   8     60.0    105.0     75.0      0.0717
   4   9     60.0    120.0     60.0      0.0714
   4  10     60.0    135.0     45.0      0.0725
   4  11     60.0    150.0     30.0      0.0801
   4  12     60.0    165.0     15.0      0.1117
   4  13     60.0    180.0      0.0      0.1414
   3   1     70.0      0.0    180.0      0.1688
   3   2     70.0     15.0    165.0      0.1681
   3   3     70.0     30.0    150.0      0.1660
   3   4     70.0     45.0    135.0      0.1664
   3   5     70.0     60.0    120.0      0.1635
   3   6     70.0     75.0    105.0      0.1611
   3   7     70.0     90.0     90.0      0.1612
   3   8     70.0    105.0     75.0      0.1573
   3   9     70.0    120.0     60.0      0.1563
   3  10     70.0    135.0     45.0      0.1570
   3  11     70.0    150.0     30.0      0.1565
   3  12     70.0    165.0     15.0      0.1643
   3  13     70.0    180.0      0.0      0.1706
   2   1     80.0      0.0    180.0      0.2663
   2   2     80.0     15.0    165.0      0.2683
   2   3     80.0     30.0    150.0      0.2747
   2   4     80.0     45.0    135.0      0.2731
   2   5     80.0     60.0    120.0      0.2724
   2   6     80.0     75.0    105.0      0.2855
   2   7     80.0     90.0     90.0      0.2858
   2   8     80.0    105.0     75.0      0.2921
   2   9     80.0    120.0     60.0      0.2852
   2  10     80.0    135.0     45.0      0.2936
   2  11     80.0    150.0     30.0      0.3037
   2  12     80.0    165.0     15.0      0.3054
   2  13     80.0    180.0      0.0      0.3077
   1   1     87.5      0.0    180.0      0.3030
   1   2     87.5     15.0    165.0      0.3075
   1   3     87.5     30.0    150.0      0.3371
   1   4     87.5     45.0    135.0      0.3342
   1   5     87.5     60.0    120.0      0.3353
   1   6     87.5     75.0    105.0      0.3460
   1   7     87.5     90.0     90.0      0.3643
   1   8     87.5    105.0     75.0      0.3741
   1   9     87.5    120.0     60.0      0.3911
   1  10     87.5    135.0     45.0      0.4155
   1  11     87.5    150.0     30.0      0.4430
   1  12     87.5    165.0     15.0      0.4279
   1  13     87.5    180.0      0.0      0.4266
rho for WIND SPEED =  4.0 m/s     THETA_SUN = 40.0 deg
  10   1      0.0      0.0      0.0      0.0278
   9   1     10.0      0.0    180.0      0.0235
   9   2     10.0     15.0    165.0      0.0247
   9   3     10.0     30.0    150.0      0.0235
   9   4     10.0     45.0    135.0      0.0238
   9   5     10.0     60.0    120.0      0.0238
   9   6     10.0     75.0    105.0      0.0238
   9   7     10.0     90.0     90.0      0.0262
   9   8     10.0    105.0     75.0      0.0286
   9   9     10.0    120.0     60.0      0.0298
   9  10     10.0    135.0     45.0      0.0450
   9  11     10.0    150.0     30.0      0.0529
   9  12     10.0    165.0     15.0      0.0604
   9  13     10.0    180.0      0.0      0.0581
   8   1     20.0      0.0    180.0      0.0228
   8   2     20.0     15.0    165.0      0.0228
   8   3     20.0     30.0    150.0      0.0224
   8   4     20.0     45.0    135.0      0.0226
   8   5     20.0     60.0    120.0      0.0229
   8   6     20.0     75.0    105.0      0.0247
   8   7     20.0     90.0     90.0      0.0246
   8   8     20.0    105.0     75.0      0.0258
   8   9     20.0    120.0     60.0      0.0342
   8  10     20.0    135.0     45.0      0.0487
   8  11     20.0    150.0     30.0      0.0810
   8  12     20.0    165.0     15.0      0.1192
   8  13     20.0    180.0      0.0      0.1348
   7   1     30.0      0.0    180.0      0.0234
   7   2     30.0     15.0    165.0      0.0236
   7   3     30.0     30.0    150.0      0.0235
   7   4     30.0     45.0    135.0      0.0236
   7   5     30.0     60.0    120.0      0.0236
   7   6     30.0     75.0    105.0      0.0239
   7   7     30.0     90.0     90.0      0.0241
   7   8     30.0    105.0     75.0      0.0259
   7   9     30.0    120.0     60.0      0.0274
   7  10     30.0    135.0     45.0      0.0483
   7  11     30.0    150.0     30.0      0.1055
   7  12     30.0    165.0     15.0      0.1603
   7  13     30.0    180.0      0.0      0.1626
   6   1     40.0      0.0    180.0      0.0276
   6   2     40.0     15.0    165.0      0.0280
   6   3     40.0     30.0    150.0      0.0275
   6   4     40.0     45.0    135.0      0.0277
   6   5     40.0     60.0    120.0      0.0273
   6   6     40.0     75.0    105.0      0.0272
   6   7     40.0     90.0     90.0      0.0275
   6   8     40.0    105.0     75.0      0.0279
   6   9     40.0    120.0     60.0      0.0297
   6  10     40.0    135.0     45.0      0.0421
   6  11     40.0    150.0     30.0      0.0991
   6  12     40.0    165.0     15.0      0.1641
   6  13     40.0    180.0      0.0      0.0034
   5   1     50.0      0.0    180.0      0.0409
   5   2     50.0     15.0    165.0      0.0414
   5   3     50.0     30.0    150.0      0.0409
   5   4     50.0     45.0    135.0      0.0401
   5   5     50.0     60.0    120.0      0.0395
   5   6     50.0     75.0    105.0      0.0391
   5   7     50.0     90.0     90.0      0.0392
   5   8     50.0    105.0     75.0      0.0389
   5   9     50.0    120.0     60.0      0.0392
   5  10     50.0    135.0     45.0      0.0422
   5  11     50.0    150.0     30.0      0.0815
   5  12     50.0    165.0     15.0      0.1978
   5  13     50.0    180.0      0.0      0.2483
   4   1     60.0      0.0    180.0      0.0804
   4   2     60.0     15.0    165.0      0.0806
   4   3     60.0     30.0    150.0      0.0803
   4   4     60.0     45.0    135.0      0.0785
   4   5     60.0     60.0    120.0      0.0763
   4   6     60.0     75.0    105.0      0.0747
   4   7     60.0     90.0     90.0      0.0739
   4   8     60.0    105.0     75.0      0.0723
   4   9     60.0    120.0     60.0      0.0718
   4  10     60.0    135.0     45.0      0.0723
   4  11     60.0    150.0     30.0      0.0862
   4  12     60.0    165.0     15.0      0.1855
   4  13     60.0    180.0      0.0      0.3081
   3   1     70.0      0.0    180.0      0.1690
   3   2     70.0     15.0    165.0      0.1683
   3   3     70.0     30.0    150.0      0.1664
   3   4     70.0     45.0    135.0      0.1670
   3   5     70.0     60.0    120.0      0.1644
   3   6     70.0     75.0    105.0      0.1619
   3   7     70.0     90.0     90.0      0.1618
   3   8     70.0    105.0     75.0      0.1578
   3   9     70.0    120.0     60.0      0.1567
   3  10     70.0    135.0     45.0      0.1573
   3  11     70.0    150.0     30.0      0.1576
   3  12     70.0    165.0     15.0      0.2076
   3  13     70.0    180.0      0.0      0.2794
   2   1     80.0      0.0    180.0      0.2637
   2   2     80.0     15.0    165.0      0.2657
   2   3     80.0     30.0    150.0      0.2721
   2   4     80.0     45.0    135.0      0.2705
   2   5     80.0     60.0    120.0      0.2699
   2   6     80.0     75.0    105.0      0.2830
   2   7     80.0     90.0     90.0      0.2836
   2   8     80.0    105.0     75.0      0.2900
   2   9     80.0    120.0     60.0      0.2839
   2  10     80.0    135.0     45.0      0.2950
   2  11     80.0    150.0     30.0      0.3117
   2  12     80.0    165.0     15.0      0.3312
   2  13     80.0    180.0      0.0      0.3532
   1   1     87.5      0.0    180.0      0.3008
   1   2     87.5     15.0    165.0      0.3049
   1   3     87.5     30.0    150.0      0.3340
   1   4     87.5     45.0    135.0      0.3302
