214	855.00	12.75	12.75	3.30	1.06	0.17	-0.18	-0.28	-0.32	-0.35	-0.31	-0.26	-0.14	-0.01	0.12	0.26	0.30	0.36	0.34	0.30	0.23	0.15	0.06	0.00	0.07	0.17	0.26	0.35	0.42	0.45	0.48	0.48	0.42	0.36	0.27	0.25	0.26	0.27	0.37	0.49	0.67	1.13	2.16	4.67	15.28	15.28
215	857.50	12.60	12.60	3.23	1.03	0.14	-0.21	-0.30	-0.33	-0.38	-0.32	-0.27	-0.16	-0.02	0.11	0.25	0.30	0.35	0.34	0.30	0.23	0.15	0.06	0.00	0.07	0.17	0.26	0.35	0.42	0.45	0.48	0.47	0.42	0.35	0.26	0.24	0.24	0.26	0.36	0.48	0.66	1.10	2.15	4.64	15.22	15.22
216	860.00	12.52	12.52	3.19	1.01	0.13	-0.23	-0.30	-0.34	-0.39	-0.33	-0.28	-0.16	-0.03	0.11	0.25	0.30	0.34	0.33	0.29	0.23	0.15	0.06	0.00	0.07	0.17	0.26	0.35	0.42	0.45	0.47	0.47	0.41	0.35	0.26	0.24	0.24	0.27	0.36	0.49	0.66	1.11	2.15	4.63	15.21	15.21
217	862.50	12.48	12.48	3.18	1.00	0.12	-0.24	-0.30	-0.35	-0.38	-0.33	-0.28	-0.17	-0.04	0.11	0.25	0.29	0.34	0.33	0.29	0.23	0.15	0.05	0.00	0.06	0.17	0.26	0.34	0.42	0.44	0.47	0.47	0.41	0.35	0.26	0.24	0.24	0.27	0.36	0.49	0.66	1.11	2.14	4.63	15.16	15.16
218	865.00	12.49	12.49	3.20	0.99	0.12	-0.23	-0.29	-0.35	-0.37	-0.33	-0.28	-0.17	-0.03	0.11	0.25	0.29	0.34	0.33	0.29	0.23	0.15	0.05	0.00	0.06	0.17	0.26	0.34	0.41	0.44	0.47	0.47	0.41	0.34	0.26	0.23	0.24	0.26	0.36	0.48	0.66	1.10	2.14	4.63	15.15	15.15
219	867.50	12.53	12.53	3.22	0.99	0.13	-0.21	-0.28	-0.34	-0.36	-0.32	-0.27	-0.16	-0.03	0.11	0.25	0.30	0.35	0.34	0.30	0.23	0.15	0.05	0.00	0.07	0.17	0.26	0.35	0.42	0.45	0.47	0.47	0.41	0.35	0.26	0.24	0.24	0.27	0.37	0.49	0.67	1.11	2.13	4.63	15.15	15.15
220	870.00	12.64	12.64	3.28	1.05	0.17	-0.17	-0.25	-0.30	-0.34	-0.30	-0.25	-0.14	-0.01	0.12	0.26	0.31	0.35	0.34	0.30	0.23	0.15	0.05	0.00	0.07	0.17	0.27	0.35	0.42	0.46	0.48	0.48	0.42	0.36	0.28	0.26	0.26	0.29	0.39	0.52	0.71	1.15	2.18	4.70	15.26	15.26
221	872.50	12.80	12.80	3.37	1.12	0.23	-0.11	-0.21	-0.26	-0.31	-0.27	-0.22	-0.12	0.01	0.14	0.28	0.32	0.36	0.35	0.30	0.23	0.15	0.05	0.00	0.07	0.17	0.27	0.36	0.43	0.47	0.49	0.50	0.44	0.38	0.31	0.29	0.30	0.33	0.44	0.57	0.77	1.21	2.27	4.82	15.45	15.45
222	875.00	12.84	12.84	3.43	1.17	0.27	-0.07	-0.18	-0.24	-0.29	-0.25	-0.20	-0.10	0.02	0.16	0.29	0.33	0.37	0.35	0.31	0.24	0.15	0.06	0.00	0.07	0.17	0.27	0.36	0.43	0.47	0.50	0.50	0.44	0.39	0.32	0.30	0.31	0.35	0.46	0.60	0.79	1.24	2.30	4.84	15.47	15.47
223	877.50	12.56	12.56	3.28	1.08	0.21	-0.12	-0.21	-0.28	-0.32	-0.29	-0.24	-0.14	-0.01	0.13	0.26	0.30	0.34	0.33	0.29	0.23	0.14	0.05	0.00	0.06	0.17	0.27	0.35	0.42	0.44	0.47	0.47	0.42	0.36	0.29	0.27	0.28	0.32	0.43	0.57	0.76	1.21	2.24	4.76	15.26	15.26
224	880.00	12.29	12.29	3.16	1.01	0.16	-0.16	-0.25	-0.31	-0.35	-0.32	-0.27	-0.17	-0.04	0.10	0.23	0.28	0.32	0.31	0.27	0.22	0.14	0.05	0.00	0.06	0.17	0.26	0.34	0.40	0.42	0.45	0.44	0.39	0.33	0.26	0.24	0.25	0.30	0.41	0.55	0.73	1.17	2.18	4.67	15.07	15.07
225	882.50	12.14	12.14	3.09	0.97	0.13	-0.18	-0.27	-0.33	-0.37	-0.33	-0.29	-0.18	-0.06	0.08	0.22	0.27	0.31	0.30	0.27	0.21	0.14	0.05	0.00	0.06	0.17	0.26	0.33	0.39	0.42	0.44	0.43	0.38	0.31	0.25	0.23	0.24	0.28	0.39	0.53	0.72	1.15	2.16	4.63	14.99	14.99
226	885.00	12.23	12.23	3.13	0.99	0.15	-0.17	-0.26	-0.32	-0.36	-0.33	-0.28	-0.17	-0.05	0.09	0.23	0.28	0.31	0.31	0.27	0.21	0.14	0.05	0.00	0.06	0.17	0.26	0.34	0.40	0.43	0.45	0.44	0.39	0.32	0.26	0.24	0.25	0.29	0.40	0.54	0.73	1.16	2.17	4.66	15.08	15.08
227	887.50	12.57	12.57	3.29	1.11	0.23	-0.11	-0.21	-0.27	-0.31	-0.28	-0.24	-0.14	-0.02	0.12	0.26	0.30	0.34	0.33	0.29	0.23	0.15	0.05	0.00	0.07	0.17	0.27	0.36	0.42	0.45	0.47	0.47	0.42	0.36	0.29	0.27	0.29	0.33	0.45	0.59	0.78	1.23	2.26	4.80	15.33	15.33
228	890.00	12.68	12.68	3.36	1.15	0.26	-0.08	-0.19	-0.25	-0.29	-0.26	-0.22	-0.12	-0.00	0.14	0.27	0.32	0.35	0.34	0.30	0.23	0.15	0.05	0.00	0.07	0.18	0.27	0.36	0.43	0.46	0.48	0.48	0.43	0.37	0.30	0.29	0.30	0.35	0.46	0.60	0.80	1.25	2.28	4.84	15.41	15.41
229	892.50	12.60	12.60	3.32	1.11	0.24	-0.10	-0.20	-0.27	-0.30	-0.28	-0.23	-0.13	-0.01	0.13	0.27	0.31	0.35	0.34	0.29	0.23	0.15	0.05	0.00	0.07	0.18	0.27	0.36	0.42	0.46	0.48	0.48	0.42	0.36	0.29	0.27	0.29	0.33	0.44	0.58	0.78	1.21	2.24	4.78	15.30	15.30
230	895.00	12.39	12.39	3.21	1.03	0.18	-0.15	-0.25	-0.30	-0.34	-0.31	-0.26	-0.16	-0.03	0.11	0.25	0.29	0.34	0.33	0.29	0.22	0.15	0.06	0.00	0.07	0.18	0.27	0.35	0.41	0.45	0.47	0.46	0.41	0.34	0.27	0.25	0.26	0.29	0.40	0.54	0.73	1.16	2.18	4.68	15.10	15.10
231	897.50	12.34	12.34	3.18	1.00	0.15	-0.17	-0.26	-0.32	-0.35	-0.32	-0.27	-0.16	-0.04	0.10	0.25	0.29	0.33	0.32	0.28	0.22	0.15	0.05	0.00	0.06	0.17	0.27	0.35	0.41	0.44	0.46	0.46	0.40	0.34	0.27	0.24	0.25	0.29	0.40	0.54	0.72	1.15	2.17	4.67	15.12	15.12
232	900.00	12.28	12.28	3.15	0.99	0.14	-0.19	-0.27	-0.33	-0.36	-0.32	-0.27	-0.17	-0.04	0.10	0.25	0.29	0.33	0.32	0.28	0.22	0.15	0.06	0.00	0.06	0.17	0.27	0.35	0.41	0.44	0.46	0.46	0.40	0.34	0.26	0.24	0.25	0.28	0.38	0.52	0.71	1.14	2.15	4.65	15.09	15.09
233	902.50	12.24	12.24	3.12	0.97	0.12	-0.21	-0.28	-0.34	-0.37	-0.33	-0.28	-0.18	-0.05	0.10	0.24	0.29	0.33	0.32	0.28	0.22	0.15	0.06	0.00	0.07	0.17	0.26	0.35	0.41	0.44	0.46	0.46	0.39	0.33	0.25	0.23	0.24	0.27	0.37	0.51	0.69	1.12	2.12	4.62	15.01	15.01
234	905.00	12.23	12.23	3.09	0.96	0.11	-0.22	-0.30	-0.35	-0.38	-0.34	-0.29	-0.18	-0.05	0.09	0.24	0.28	0.33	0.32	0.28	0.22	0.14	0.05	0.00	0.07	0.17	0.26	0.35	0.41	0.44	0.46	0.45	0.39	0.32	0.25	0.22	0.23	0.26	0.36	0.49	0.68	1.10	2.10	4.60	14.95	14.95
235	907.50	12.41	12.41	3.20	1.03	0.16	-0.18	-0.27	-0.32	-0.35	-0.32	-0.26	-0.16	-0.03	0.11	0.25	0.30	0.35	0.34	0.29	0.23	0.15	0.06	0.00	0.07	0.17	0.27	0.35	0.42	0.45	0.47	0.47	0.41	0.35	0.27	0.24	0.25	0.28	0.39	0.52	0.70	1.13	2.15	4.67	15.11	15.11
236	910.00	12.48	12.48	3.25	1.05	0.18	-0.16	-0.25	-0.31	-0.34	-0.30	-0.25	-0.15	-0.02	0.12	0.26	0.31	0.36	0.34	0.30	0.23	0.15	0.06	0.00	0.06	0.17	0.27	0.36	0.43	0.46	0.48	0.48	0.41	0.35	0.28	0.25	0.26	0.30	0.39	0.53	0.72	1.16	2.18	4.69	15.16	15.16
237	912.50	12.31	12.31	3.15	0.99	0.14	-0.19	-0.28	-0.33	-0.36	-0.33	-0.27	-0.17	-0.03	0.11	0.25	0.30	0.35	0.34	0.29	0.23	0.15	0.05	0.00	0.06	0.17	0.27	0.35	0.42	0.45	0.47	0.47	0.40	0.34	0.26	0.24	0.24	0.27	0.37	0.51	0.70	1.13	2.13	4.61	15.02	15.02
238	915.00	11.93	11.93	2.95	0.86	0.04	-0.27	-0.35	-0.39	-0.41	-0.38	-0.31	-0.21	-0.07	0.07	0.22	0.27	0.32	0.32	0.27	0.21	0.14	0.05	0.00	0.06	0.17	0.26	0.34	0.41	0.43	0.45	0.44	0.37	0.30	0.22	0.19	0.20	0.22	0.32	0.45	0.63	1.05	2.03	4.47	14.76	14.76
239	917.50	11.70	11.70	2.84	0.79	-0.02	-0.32	-0.38	-0.43	-0.45	-0.41	-0.34	-0.23	-0.09	0.05	0.20	0.26	0.31	0.30	0.26	0.21	0.13	0.05	0.00	0.06	0.17	0.26	0.33	0.40	0.42	0.44	0.43	0.35	0.28	0.20	0.17	0.17	0.20	0.29	0.42	0.60	1.00	1.98	4.39	14.62	14.62
240	920.00	11.79	11.79	2.87	0.82	-0.00	-0.32	-0.38	-0.43	-0.44	-0.40	-0.34	-0.22	-0.09	0.06	0.22	0.27	0.32	0.32	0.27	0.21	0.14	0.05	0.00	0.06	0.17	0.26	0.34	0.40	0.43	0.45	0.43	0.36	0.29	0.21	0.18	0.18	0.20	0.29	0.42	0.59	1.01	1.98	4.41	14.67	14.67
241	922.50	12.06	12.06	3.01	0.91	0.05	-0.27	-0.34	-0.39	-0.41	-0.37	-0.31	-0.20	-0.06	0.09	0.24	0.29	0.34	0.33	0.28	0.22	0.15	0.06	0.00	0.06	0.17	0.27	0.35	0.41	0.44	0.46	0.45	0.38	0.32	0.23	0.20	0.21	0.23	0.33	0.46	0.63	1.06	2.05	4.51	14.86	14.86
242	925.00	12.39	12.39	3.18	1.02	0.13	-0.21	-0.29	-0.33	-0.37	-0.33	-0.27	-0.17	-0.03	0.11	0.26	0.31	0.35	0.35	0.30	0.23	0.15	0.06	0.00	0.06	0.18	0.27	0.35	0.43	0.45	0.48	0.47	0.41	0.34	0.26	0.23	0.24	0.26	0.37	0.50	0.67	1.12	2.11	4.60	15.06	15.06
243	927.50	12.51	12.51	3.26	1.08	0.18	-0.18	-0.26	-0.31	-0.35	-0.30	-0.26	-0.15	-0.01	0.13	0.27	0.32	0.37	0.36	0.31	0.24	0.15	0.05	0.00	0.06	0.17	0.27	0.36	0.44	0.46	0.49	0.48	0.42	0.35	0.27	0.24	0.25	0.27	0.38	0.50	0.68	1.13	2.14	4.65	15.06	15.06
244	930.00	12.40	12.40	3.20	1.03	0.14	-0.20	-0.28	-0.34	-0.36	-0.32	-0.26	-0.16	-0.02	0.12	0.27	0.31	0.37	0.36	0.31	0.23	0.15	0.06	0.00	0.06	0.17	0.27	0.36	0.43	0.46	0.48	0.48	0.42	0.34	0.26	0.23	0.23	0.25	0.35	0.48	0.66	1.09	2.11	4.60	14.97	14.97
245	932.50	12.14	12.14	3.05	0.91	0.07	-0.26	-0.34	-0.38	-0.41	-0.36	-0.30	-0.18	-0.04	0.09	0.25	0.30	0.35	0.34	0.30	0.23	0.14	0.05	0.00	0.06	0.17	0.27	0.36	0.42	0.45	0.46	0.46	0.40	0.32	0.23	0.21	0.20	0.23	0.31	0.45	0.61	1.04	2.03	4.49	14.81	14.81
246	935.00	11.81	11.81	2.87	0.79	-0.01	-0.33	-0.39	-0.43	-0.45	-0.40	-0.34	-0.22	-0.08	0.06	0.22	0.28	0.33	0.32	0.28	0.22	0.14	0.05	0.00	0.07	0.17	0.26	0.35	0.41	0.43	0.45	0.44	0.37	0.29	0.20	0.18	0.17	0.20	0.28	0.41	0.56	0.98	1.95	4.37	14.61	14.61
247	937.50	11.56	11.56	2.75	0.72	-0.07	-0.39	-0.43	-0.46	-0.49	-0.42	-0.36	-0.24	-0.10	0.06	0.21	0.27	0.32	0.31	0.28	0.22	0.14	0.06	0.00	0.07	0.17	0.26	0.35	0.41	0.43	0.44	0.43	0.35	0.28	0.19	0.16	0.15	0.17	0.26	0.37	0.52	0.94	1.89	4.27	14.37	14.37
248	940.00	11.56	11.56	2.75	0.73	-0.08	-0.40	-0.44	-0.47	-0.48	-0.43	-0.36	-0.25	-0.10	0.05	0.20	0.26	0.31	0.31	0.27	0.21	0.13	0.05	0.00	0.06	0.17	0.25	0.34	0.40	0.42	0.43	0.42	0.34	0.27	0.19	0.14	0.14	0.16	0.24	0.35	0.50	0.94	1.88	4.25	14.32	14.32
249	942.50	11.61	11.61	2.76	0.75	-0.07	-0.39	-0.44	-0.46	-0.48	-0.42	-0.36	-0.24	-0.11	0.05	0.21	0.26	0.31	0.31	0.27	0.21	0.14	0.05	0.00	0.06	0.16	0.25	0.34	0.40	0.42	0.43	0.42	0.35	0.27	0.18	0.14	0.15	0.16	0.24	0.36	0.52	0.94	1.91	4.30	14.38	14.38
250	945.00	11.60	11.60	2.76	0.75	-0.06	-0.38	-0.43	-0.46	-0.48	-0.42	-0.36	-0.24	-0.10	0.06	0.21	0.26	0.31	0.31	0.27	0.21	0.14	0.06	0.00	0.06	0.16	0.25	0.34	0.40	0.42	0.43	0.43	0.35	0.28	0.19	0.15	0.15	0.17	0.25	0.37	0.53	0.95	1.93	4.31	14.43	14.43
251	947.50	11.55	11.55	2.74	0.74	-0.08	-0.39	-0.44	-0.47	-0.48	-0.43	-0.36	-0.24	-0.11	0.06	0.21	0.26	0.31	0.31	0.27	0.21	0.14	0.05	0.00	0.06	0.16	0.26	0.34	0.40	0.42	0.43	0.43	0.34	0.27	0.18	0.14	0.15	0.16	0.24	0.35	0.52	0.95	1.91	4.27	14.39	14.39
252	950.00	11.52	11.52	2.71	0.74	-0.10	-0.41	-0.45	-0.48	-0.49	-0.44	-0.37	-0.25	-0.12	0.05	0.20	0.26	0.31	0.30	0.27	0.21	0.13	0.05	0.00	0.06	0.17	0.26	0.34	0.40	0.42	0.43	0.42	0.34	0.26	0.17	0.14	0.13	0.15	0.23	0.34	0.50	0.94	1.90	4.28	14.29	14.29
253	952.50	11.53	11.53	2.75	0.74	-0.08	-0.41	-0.46	-0.47	-0.49	-0.44	-0.38	-0.25	-0.11	0.04	0.20	0.26	0.31	0.30	0.27	0.20	0.13	0.05	0.00	0.05	0.17	0.25	0.33	0.40	0.41	0.43	0.42	0.35	0.26	0.18	0.14	0.13	0.15	0.24	0.34	0.50	0.94	1.90	4.29	14.33	14.33
254	955.00	11.68	11.68	2.83	0.79	-0.04	-0.39	-0.43	-0.46	-0.48	-0.42	-0.36	-0.24	-0.10	0.05	0.21	0.26	0.32	0.31	0.28	0.20	0.13	0.05	0.00	0.05	0.17	0.25	0.34	0.40	0.42	0.44	0.42	0.35	0.27	0.18	0.15	0.14	0.17	0.25	0.36	0.52	0.96	1.93	4.33	14.46	14.46
255	957.50	11.89	11.89	2.94	0.88	0.01	-0.35	-0.38	-0.43	-0.45	-0.39	-0.33	-0.21	-0.08	0.07	0.23	0.27	0.33	0.33	0.29	0.21	0.13	0.06	0.00	0.06	0.18	0.26	0.34	0.40	0.43	0.45	0.44	0.36	0.29	0.20	0.18	0.17	0.19	0.28	0.39	0.55	1.01	1.98	4.42	14.64	14.64
[END_OF_COSERROR]

[COLUMN_NAMES]
px	wl\angle	-90.00	-85.00	-80.00	-75.00	-70.00	-65.00	-60.00	-55.00	-50.00	-45.00	-40.00	-35.00	-30.00	-25.00	-20.00	-17.50	-15.00	-12.50	-10.00	-7.50	-5.00	-2.50	0.00	2.50	5.00	7.50	10.00	12.50	15.00	17.50	20.00	25.00	30.00	35.00	40.00	45.00	50.00	55.00	60.00	65.00	70.00	75.00	80.00	85.00	90.00

[UNCERTAINTY]
0	320.00	33.75	33.75	13.07	9.07	8.74	8.04	7.68	6.75	5.88	4.94	3.95	2.97	2.23	2.02	1.71	1.55	1.48	1.25	0.99	0.78	0.51	0.27	0.00	0.34	0.63	0.89	1.41	1.63	1.83	2.18	2.37	2.70	3.09	3.70	4.35	5.19	6.19	7.01	8.14	9.24	10.46	11.88	16.87	39.57	39.57
1	322.50	33.01	33.01	12.86	9.30	8.66	8.15	7.67	6.68	5.91	4.79	3.89	3.00	2.22	2.00	1.70	1.51	1.45	1.23	0.98	0.79	0.55	0.27	0.00	0.36	0.64	0.91	1.42	1.65	1.82	2.16	2.40	2.72	3.10	3.76	4.39	5.21	6.21	6.98	8.12	9.24	10.46	11.94	16.85	38.61	38.61
2	325.00	33.40	33.40	12.68	9.39	8.88	8.20	7.67	6.68	5.77	4.71	3.89	2.97	2.28	1.95	1.71	1.54	1.44	1.20	1.00	0.77	0.50	0.23	0.00	0.32	0.66	0.88	1.37	1.69	1.80	2.18	2.39	2.69	3.15	3.76	4.49	5.21	6.21	7.11	8.28	9.34	10.41	11.84	16.98	39.52	39.52
3	327.50	33.69	33.69	12.90	9.17	8.86	8.27	7.65	6.77	5.75	4.78	3.91	3.06	2.31	1.96	1.72	1.56	1.44	1.24	1.00	0.78	0.52	0.24	0.00	0.31	0.63	0.89	1.36	1.71	1.82	2.19	2.37	2.69	3.20	3.75	4.42	5.16	6.14	7.09	8.26	9.33	10.30	11.82	17.05	39.93	39.93
4	330.00	33.84	33.84	13.04	9.14	8.85	8.25	7.63	6.80	5.73	4.84	3.91	3.09	2.34	1.97	1.72	1.56	1.44	1.25	0.99	0.77	0.53	0.22	0.00	0.30	0.61	0.90	1.37	1.69	1.83	2.19	2.35	2.67	3.19	3.69	4.36	5.15	6.11	7.04	8.24	9.33	10.27	11.87	17.02	40.04	40.04
5	332.50	34.04	34.04	13.12	9.30	8.81	8.19	7.60	6.76	5.68	4.82	3.89	3.04	2.36	1.98	1.74	1.54	1.45	1.24	1.00	0.76	0.51	0.20	0.00	0.33	0.62	0.88	1.37	1.66	1.83	2.20	2.37	2.67	3.15	3.62	4.36	5.16	6.13	7.01	8.27	9.32	10.27	11.88	16.91	40.14	40.14
6	335.00	33.99	33.99	13.04	9.30	8.64	8.19	7.49	6.66	5.71	4.76	3.89	2.99	2.34	1.98	1.75	1.56	1.48	1.28	1.04	0.79	0.53	0.22	0.00	0.34	0.65	0.92	1.37	1.68	1.85	2.21	2.43	2.71	3.19	3.68	4.36	5.14	6.12	7.02	8.22	9.16	10.21	11.63	17.06	40.06	40.06
7	337.50	33.95	33.95	13.13	9.31	8.57	8.13	7.50	6.61	5.68	4.68	3.88	3.01	2.34	2.01	1.73	1.56	1.48	1.27	1.04	0.80	0.52	0.21	0.00	0.35	0.63	0.91	1.38	1.70	1.84	2.19	2.40	2.72	3.18	3.68	4.34	5.13	6.09	7.00	8.18	9.11	10.22	11.65	17.14	40.23	40.23
8	340.00	34.07	34.07	13.22	9.22	8.55	8.11	7.48	6.58	5.63	4.66	3.87	3.03	2.34	2.04	1.75	1.58	1.49	1.27	1.02	0.79	0.50	0.21	0.00	0.34	0.62	0.91	1.39	1.70	1.85	2.20	2.39	2.74	3.18	3.68	4.32	5.11	6.05	6.96	8.15	9.11	10.20	11.68	17.17	40.45	40.45
9	342.50	34.24	34.24	13.27	9.14	8.52	8.10	7.42	6.55	5.60	4.68	3.87	3.04	2.36	2.07	1.79	1.63	1.51	1.29	1.02	0.77	0.50	0.21	0.00	0.34	0.63	0.93	1.39	1.70	1.89	2.23	2.40	2.74	3.18	3.69	4.31	5.09	6.02	6.92	8.10	9.13	10.21	11.72	17.20	40.69	40.69
10	345.00	34.41	34.41	13.32	9.19	8.42	7.98	7.30	6.52	5.60	4.65	3.86	3.00	2.36	2.06	1.78	1.62	1.53	1.30	1.03	0.79	0.51	0.20	0.00	0.35	0.64	0.93	1.38	1.69	1.88	2.22	2.39	2.73	3.17	3.67	4.30	5.05	5.99	6.93	8.02	9.06	10.24	11.69	17.26	40.60	40.60
11	347.50	34.40	34.40	13.28	9.14	8.44	7.95	7.26	6.44	5.55	4.60	3.84	3.02	2.38	2.07	1.80	1.63	1.52	1.30	1.04	0.79	0.53	0.20	0.00	0.33	0.64	0.92	1.39	1.71	1.89	2.22	2.40	2.75	3.17	3.67	4.28	5.03	5.97	6.90	8.01	9.01	10.08	11.66	17.32	40.61	40.61
12	350.00	34.38	34.38	13.25	9.11	8.38	7.89	7.22	6.40	5.52	4.58	3.82	3.02	2.39	2.07	1.82	1.64	1.53	1.30	1.05	0.79	0.53	0.21	0.00	0.32	0.63	0.92	1.40	1.71	1.90	2.23	2.41	2.76	3.17	3.66	4.26	5.02	5.97	6.87	7.99	8.98	10.03	11.68	17.29	40.71	40.71
13	352.50	34.32	34.32	13.25	9.07	8.30	7.81	7.16	6.38	5.48	4.56	3.80	3.01	2.39	2.07	1.82	1.64	1.55	1.32	1.06	0.79	0.51	0.21	0.00	0.33	0.63	0.93	1.40	1.70	1.89	2.23	2.42	2.76	3.17	3.65	4.25	5.01	5.94	6.84	7.94	8.95	10.00	11.66	17.28	40.78	40.78
14	355.00	34.34	34.34	13.25	8.95	8.26	7.72	7.09	6.34	5.42	4.51	3.77	3.00	2.39	2.10	1.82	1.66	1.55	1.32	1.06	0.80	0.52	0.21	0.00	0.33	0.63	0.93	1.40	1.70	1.89	2.24	2.42	2.78	3.20	3.65	4.26	4.99	5.88	6.80	7.83	8.89	9.91	11.61	17.32	40.70	40.70
15	357.50	34.38	34.38	13.22	8.91	8.16	7.65	7.04	6.25	5.36	4.48	3.73	2.98	2.38	2.09	1.83	1.67	1.56	1.32	1.07	0.80	0.52	0.21	0.00	0.33	0.64	0.93	1.40	1.71	1.89	2.23	2.43	2.78	3.18	3.64	4.22	4.95	5.85	6.76	7.82	8.81	9.84	11.58	17.30	40.71	40.71
16	360.00	34.33	34.33	13.15	8.83	8.04	7.57	6.94	6.18	5.33	4.44	3.71	2.97	2.38	2.08	1.83	1.66	1.56	1.32	1.07	0.81	0.52	0.21	0.00	0.33	0.64	0.93	1.40	1.71	1.89	2.23	2.42	2.77	3.16	3.62	4.18	4.91	5.80	6.69	7.75	8.74	9.76	11.51	17.27	40.69	40.69
17	362.50	34.25	34.25	13.07	8.74	7.95	7.48	6.85	6.12	5.28	4.40	3.68	2.94	2.36	2.07	1.82	1.65	1.55	1.31	1.07	0.81	0.52	0.20	0.00	0.33	0.63	0.94	1.40	1.70	1.89	2.22	2.40	2.74	3.14	3.60	4.15	4.87	5.75	6.61	7.67	8.69	9.69	11.46	17.23	40.72	40.72
18	365.00	34.28	34.28	13.08	8.65	7.90	7.37	6.80	6.03	5.23	4.38	3.63	2.93	2.35	2.06	1.81	1.65	1.53	1.31	1.05	0.79	0.51	0.21	0.00	0.32	0.63	0.93	1.40	1.70	1.89	2.22	2.42	2.74	3.13	3.57	4.14	4.82	5.72	6.54	7.60	8.64	9.63	11.45	17.17	40.75	40.75
19	367.50	34.28	34.28	13.00	8.56	7.74	7.28	6.69	5.98	5.15	4.32	3.59	2.89	2.33	2.04	1.80	1.65	1.53	1.31	1.05	0.80	0.52	0.21	0.00	0.32	0.64	0.93	1.40	1.70	1.89	2.21	2.40	2.73	3.11	3.56	4.10	4.77	5.65	6.50	7.52	8.54	9.63	11.34	17.14	40.68	40.68
20	370.00	34.28	34.28	12.96	8.46	7.62	7.15	6.59	5.91	5.09	4.27	3.55	2.85	2.30	2.02	1.79	1.64	1.52	1.30	1.05	0.80	0.52	0.21	0.00	0.32	0.63	0.93	1.40	1.70	1.88	2.20	2.39	2.71	3.08	3.52	4.06	4.74	5.58	6.43	7.44	8.43	9.53	11.31	17.13	40.68	40.68
21	372.50	34.26	34.26	12.94	8.35	7.50	7.05	6.50	5.83	5.03	4.21	3.50	2.82	2.27	2.00	1.78	1.63	1.51	1.29	1.05	0.79	0.52	0.21	0.00	0.32	0.62	0.93	1.39	1.69	1.86	2.18	2.37	2.70	3.04	3.48	4.01	4.68	5.51	6.35	7.36	8.35	9.41	11.28	17.12	40.72	40.72
22	375.00	34.31	34.31	12.92	8.25	7.39	6.98	6.41	5.74	4.94	4.15	3.47	2.82	2.27	1.98	1.78	1.63	1.52	1.29	1.05	0.78	0.52	0.21	0.00	0.32	0.61	0.92	1.39	1.68	1.87	2.18	2.37	2.69	3.03	3.46	3.98	4.65	5.46	6.29	7.30	8.30	9.36	11.25	17.08	40.74	40.74
23	377.50	34.32	34.32	12.92	8.19	7.29	6.86	6.33	5.68	4.89	4.09	3.43	2.78	2.24	1.98	1.77	1.62	1.51	1.29	1.05	0.78	0.52	0.20	0.00	0.31	0.61	0.93	1.39	1.68	1.87	2.18	2.37	2.68	3.02	3.45	3.95	4.61	5.42	6.24	7.24	8.23	9.23	11.21	17.12	40.82	40.82
24	380.00	34.40	34.40	12.93	8.13	7.19	6.75	6.23	5.59	4.84	4.04	3.38	2.74	2.23	1.98	1.76	1.62	1.51	1.29	1.05	0.79	0.51	0.20	0.00	0.31	0.61	0.93	1.39	1.69	1.87	2.18	2.37	2.67	3.01	3.43	3.92	4.55	5.37	6.17	7.17	8.13	9.17	11.16	17.13	40.92	40.92
25	382.50	34.53	34.53	12.94	8.06	7.09	6.65	6.13	5.52	4.77	4.00	3.34	2.72	2.22	1.97	1.76	1.62	1.52	1.29	1.06	0.80	0.51	0.21	0.00	0.31	0.62	0.93	1.39	1.69	1.88	2.18	2.38	2.66	3.01	3.41	3.90	4.51	5.32	6.11	7.12	8.06	9.12	11.11	17.15	40.98	40.98
26	385.00	34.65	34.65	12.97	7.99	6.98	6.55	6.05	5.45	4.70	3.96	3.30	2.72	2.21	1.96	1.77	1.62	1.52	1.30	1.06	0.80	0.52	0.21	0.00	0.31	0.62	0.94	1.41	1.70	1.89	2.18	2.37	2.66	3.01	3.39	3.89	4.48	5.26	6.04	7.06	7.99	9.03	11.06	17.20	41.01	41.01
27	387.50	34.76	34.76	13.00	7.90	6.89	6.46	5.97	5.37	4.64	3.91	3.27	2.68	2.20	1.96	1.77	1.62	1.52	1.31	1.07	0.80	0.52	0.21	0.00	0.31	0.61	0.94	1.41	1.70	1.89	2.18	2.37	2.66	3.00	3.37	3.85	4.45	5.21	5.98	6.97	7.91	8.96	11.01	17.20	41.12	41.12
28	390.00	34.84	34.84	13.02	7.86	6.78	6.38	5.87	5.29	4.57	3.85	3.22	2.66	2.19	1.95	1.76	1.63	1.53	1.32	1.07	0.80	0.52	0.21	0.00	0.30	0.62	0.94	1.40	1.70	1.89	2.18	2.37	2.66	2.98	3.35	3.82	4.41	5.16	5.92	6.88	7.84	8.93	11.01	17.22	41.19	41.19
29	392.50	34.89	34.89	13.03	7.81	6.66	6.30	5.77	5.22	4.52	3.81	3.19	2.64	2.17	1.94	1.77	1.63	1.53	1.32	1.07	0.80	0.52	0.21	0.00	0.31	0.62	0.94	1.40	1.70	1.89	2.18	2.37	2.65	2.96	3.34	3.80	4.37	5.11	5.87	6.81	7.77	8.87	10.99	17.25	41.18	41.18
